deviceid,date,month,AVG(sampledata.TC),SUM(LW),AVG(PLV2),farmid,cropname
ZT1FC3FS,25-01-2021,1,15.7975,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,26-01-2021,1,12.386250000000002,14,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,27-01-2021,1,11.767708333333337,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,28-01-2021,1,13.056249999999999,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,29-01-2021,1,11.803749999999999,36,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,30-01-2021,1,12.098333333333334,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,31-01-2021,1,13.884166666666667,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,01-02-2021,2,15.496249999999996,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,02-02-2021,2,16.718333333333337,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,03-02-2021,2,17.591250000000002,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,04-02-2021,2,18.457500000000003,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,05-02-2021,2,17.18541666666667,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,06-02-2021,2,14.406250000000005,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,07-02-2021,2,13.8425,31,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,08-02-2021,2,14.674583333333333,4,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,09-02-2021,2,16.65791666666667,4,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,10-02-2021,2,18.034583333333334,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,11-02-2021,2,18.38375,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,12-02-2021,2,18.77958333333333,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,13-02-2021,2,19.512083333333333,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,14-02-2021,2,19.883749999999996,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,15-02-2021,2,19.755,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,16-02-2021,2,19.524583333333336,11,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
